CMDLINE python3 basic_test.py configs-graphtool/mcmc_anneal_dblp.yml True True
MEM 0.347656 1629748066.6820
MEM 17.113281 1629748066.8142
MEM 26.718750 1629748066.9432
MEM 38.792969 1629748067.0730
MEM 45.390625 1629748067.1988
MEM 59.226562 1629748067.3297
MEM 72.371094 1629748067.4549
MEM 81.425781 1629748067.5860
MEM 95.000000 1629748067.7173
MEM 105.738281 1629748067.8439
MEM 118.832031 1629748067.9711
MEM 124.867188 1629748068.0933
MEM 125.867188 1629748068.2198
MEM 126.601562 1629748068.3450
MEM 129.046875 1629748068.4703
MEM 131.964844 1629748068.5968
MEM 132.683594 1629748068.7228
MEM 133.171875 1629748068.8453
MEM 134.289062 1629748068.9697
MEM 137.753906 1629748069.0960
MEM 149.703125 1629748069.2240
MEM 154.582031 1629748069.3480
MEM 159.644531 1629748069.4706
MEM 165.832031 1629748069.5952
MEM 170.105469 1629748069.7191
MEM 176.289062 1629748069.8452
MEM 180.554688 1629748069.9680
MEM 184.460938 1629748070.0928
MEM 188.738281 1629748070.2155
MEM 233.277344 1629748070.3389
MEM 239.789062 1629748070.4632
MEM 258.664062 1629748070.5914
MEM 293.039062 1629748070.7176
MEM 316.792969 1629748070.8523
MEM 344.011719 1629748070.9840
MEM 382.015625 1629748071.1066
MEM 409.683594 1629748071.2351
MEM 426.851562 1629748071.3649
MEM 441.492188 1629748071.4981
MEM 469.488281 1629748071.6281
MEM 497.582031 1629748071.7506
MEM 543.832031 1629748071.8775
MEM 569.250000 1629748072.0012
MEM 595.203125 1629748072.1306
MEM 596.296875 1629748072.2675
MEM 613.152344 1629748072.4070
MEM 637.105469 1629748072.5349
MEM 662.765625 1629748072.6626
MEM 687.250000 1629748072.7906
MEM 711.339844 1629748072.9145
MEM 734.023438 1629748073.0379
MEM 756.859375 1629748073.1649
MEM 782.406250 1629748073.2898
MEM 805.941406 1629748073.4124
MEM 819.632812 1629748073.5494
MEM 819.632812 1629748073.6960
MEM 831.539062 1629748073.8326
MEM 847.425781 1629748073.9629
MEM 847.535156 1629748074.0941
MEM 849.683594 1629748074.2259
MEM 856.296875 1629748074.3575
MEM 856.296875 1629748074.4896
MEM 866.261719 1629748074.6186
MEM 870.562500 1629748074.7486
MEM 885.945312 1629748074.8743
MEM 898.054688 1629748075.0005
MEM 898.082031 1629748075.1390
MEM 898.082031 1629748075.2811
MEM 906.765625 1629748075.4101
MEM 913.054688 1629748075.5372
MEM 919.460938 1629748075.6608
MEM 938.250000 1629748075.7965
MEM 938.250000 1629748075.9379
MEM 939.230469 1629748076.0726
MEM 943.101562 1629748076.2044
MEM 944.050781 1629748076.3307
MEM 945.011719 1629748076.4605
MEM 945.933594 1629748076.5829
MEM 946.968750 1629748076.7095
MEM 947.968750 1629748076.8329
MEM 949.148438 1629748076.9551
MEM 950.113281 1629748077.0788
MEM 951.089844 1629748077.2037
MEM 952.132812 1629748077.3315
MEM 952.972656 1629748077.4644
MEM 954.160156 1629748077.5873
